architecture,loss,num classes,num repeat,degree,factor,variance,psnr,psnr std,ssim,ssim std,type
pm,,,,,,10.0,25.657776,1.9112501,0.67438984,0.105631694,Perona-Malik
pm,,,,,,12.5,25.40057,1.8969178,0.6770057,0.09777718,Perona-Malik
pm,,,,,,15.0,24.924072,1.9778281,0.65230584,0.10930943,Perona-Malik
pm,,,,,,17.5,25.076874,2.01065,0.6616535,0.100882255,Perona-Malik
pm,,,,,,20.0,24.902395,1.8309255,0.652271,0.104080334,Perona-Malik
pm,,,,,,22.5,24.825886,1.8022163,0.66096205,0.09918731,Perona-Malik
pm,,,,,,25.0,24.819891,1.7871884,0.65410006,0.10374416,Perona-Malik
pm,,,,,,27.5,24.34796,1.8550328,0.6393331,0.09495754,Perona-Malik
pm,,,,,,30.0,24.430239,1.7673955,0.6406139,0.09861271,Perona-Malik
pm,,,,,,32.5,24.4338,1.7322528,0.6396856,0.096253484,Perona-Malik
pm,,,,,,35.0,24.202093,1.6698495,0.6358216,0.095497355,Perona-Malik
pm,,,,,,37.5,23.822964,1.7695231,0.6206092,0.09482863,Perona-Malik
pm,,,,,,40.0,23.659994,1.7312284,0.6128341,0.09782246,Perona-Malik
pm,,,,,,42.5,23.563366,1.688713,0.6079602,0.08611614,Perona-Malik
pm,,,,,,45.0,23.21076,1.7483526,0.5989842,0.09797811,Perona-Malik
pm,,,,,,47.5,23.011538,1.6767495,0.5888673,0.09162181,Perona-Malik
pm,,,,,,50.0,22.749285,1.590601,0.57369685,0.09567635,Perona-Malik
pm,,,,,,52.5,22.62531,1.6161764,0.57842964,0.09119898,Perona-Malik
