,architecture,variance,psnr,psnr std,ssim,ssim std,second,loss,num classes,num repeat,degree,factor,polynomial,polynomial degree
0,pm,10.0,31.39224,1.6417025,0.8823159,0.02579425,NA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,splines,10.0,31.100042,1.9673032,0.8548287,0.048912544,True,H1,5.0,1.0,1.0,10.0,True,1.0
2,splines,10.0,29.238539,2.3339303,0.8612678,0.03489288,True,H1,5.0,1.0,1.0,10.0,True,2.0
3,splines,10.0,28.7139,2.4606917,0.8457381,0.048227046,True,H1,5.0,1.0,1.0,10.0,True,3.0
4,splines,10.0,25.23075,2.505405,0.7278056,0.086493745,True,H1,5.0,1.0,1.0,10.0,True,4.0
5,splines,10.0,9.330159,0.27417958,0.02948102,0.009556851,True,H1,5.0,1.0,1.0,10.0,True,5.0
6,splines,10.0,19.090925,3.5005567,0.68720675,0.07222657,True,H1,5.0,1.0,1.0,10.0,False,-1.0
7,splines,10.0,30.73126,2.0554862,0.85268307,0.046469226,True,H1,5.0,1.0,1.0,3.1622776601683795,True,1.0
8,splines,10.0,31.529058,1.3507103,0.8517347,0.050753463,True,H1,5.0,1.0,1.0,3.1622776601683795,True,2.0
9,splines,10.0,22.947372,3.9341176,0.5629577,0.23057492,True,H1,5.0,1.0,1.0,3.1622776601683795,True,3.0
10,splines,10.0,31.014198,1.8554245,0.84628963,0.051404905,True,H1,5.0,1.0,1.0,3.1622776601683795,True,4.0
11,splines,10.0,30.166744,2.0094619,0.85384154,0.03743251,True,H1,5.0,1.0,1.0,3.1622776601683795,True,5.0
12,splines,10.0,31.700798,1.4737538,0.86358756,0.04013558,True,H1,5.0,1.0,1.0,3.1622776601683795,False,-1.0
13,splines,10.0,32.017784,0.9659275,0.8652712,0.042886894,True,H1,5.0,1.0,1.0,1.0,True,1.0
14,splines,10.0,30.84041,2.0780096,0.8690748,0.03665656,True,H1,5.0,1.0,1.0,1.0,True,2.0
15,splines,10.0,31.100079,1.8203821,0.8575809,0.04682085,True,H1,5.0,1.0,1.0,1.0,True,3.0
16,splines,10.0,30.41668,1.7646755,0.84760416,0.046364445,True,H1,5.0,1.0,1.0,1.0,True,4.0
17,splines,10.0,31.419186,1.466325,0.8475652,0.04934226,True,H1,5.0,1.0,1.0,1.0,True,5.0
18,splines,10.0,26.12352,3.0685313,0.73644286,0.1226317,True,H1,5.0,1.0,1.0,1.0,False,-1.0
19,splines,10.0,30.497969,1.9011827,0.87135816,0.032808773,True,H1,5.0,1.0,1.0,0.3162277660168379,True,1.0
20,splines,10.0,31.132282,1.4722894,0.8497331,0.046681665,True,H1,5.0,1.0,1.0,0.3162277660168379,True,2.0
21,splines,10.0,31.26918,1.710746,0.84924906,0.049699374,True,H1,5.0,1.0,1.0,0.3162277660168379,True,3.0
22,splines,10.0,31.447624,1.4185172,0.8499076,0.0526286,True,H1,5.0,1.0,1.0,0.3162277660168379,True,4.0
23,splines,10.0,30.927256,2.0704443,0.84983534,0.051116817,True,H1,5.0,1.0,1.0,0.3162277660168379,True,5.0
24,splines,10.0,31.375925,1.4375907,0.8468382,0.05264185,True,H1,5.0,1.0,1.0,0.3162277660168379,False,-1.0
25,splines,10.0,31.234657,1.8013988,0.8589198,0.046802834,True,H1,5.0,1.0,2.0,10.0,True,1.0
26,splines,10.0,31.77715,1.2599256,0.8593079,0.045279354,True,H1,5.0,1.0,2.0,10.0,True,2.0
27,splines,10.0,2.0316858,13.967724,0.30653444,0.36654854,True,H1,5.0,1.0,2.0,10.0,True,3.0
28,splines,10.0,28.815752,2.449468,0.8487893,0.04368922,True,H1,5.0,1.0,2.0,10.0,True,4.0
29,splines,10.0,30.754974,2.0507686,0.85462135,0.0458431,True,H1,5.0,1.0,2.0,10.0,True,5.0
30,splines,10.0,26.58828,2.8671174,0.7703309,0.116281986,True,H1,5.0,1.0,2.0,10.0,False,-1.0
31,splines,10.0,31.322971,0.7946127,0.83238596,0.055942107,True,H1,5.0,1.0,2.0,3.1622776601683795,True,1.0
32,splines,10.0,31.404003,1.5587778,0.8556444,0.047067516,True,H1,5.0,1.0,2.0,3.1622776601683795,True,2.0
33,splines,10.0,31.480396,1.4966273,0.85405904,0.050808195,True,H1,5.0,1.0,2.0,3.1622776601683795,True,3.0
34,splines,10.0,27.455584,2.5592046,0.80390877,0.067738585,True,H1,5.0,1.0,2.0,3.1622776601683795,True,4.0
35,splines,10.0,31.22167,1.821228,0.85456795,0.05124736,True,H1,5.0,1.0,2.0,3.1622776601683795,True,5.0
36,splines,10.0,29.41609,2.3988035,0.8614017,0.039647307,True,H1,5.0,1.0,2.0,3.1622776601683795,False,-1.0
37,splines,10.0,27.117325,0.7940776,0.7141467,0.07243894,True,H1,5.0,1.0,2.0,1.0,True,1.0
38,splines,10.0,30.44711,1.8416185,0.84863824,0.04560912,True,H1,5.0,1.0,2.0,1.0,True,2.0
39,splines,10.0,31.303484,1.7189643,0.8564135,0.044919442,True,H1,5.0,1.0,2.0,1.0,True,3.0
40,splines,10.0,30.873508,2.0193334,0.87228566,0.032532655,True,H1,5.0,1.0,2.0,1.0,True,4.0
41,splines,10.0,31.465267,1.6745998,0.85821897,0.04595137,True,H1,5.0,1.0,2.0,1.0,True,5.0
42,splines,10.0,31.50644,1.5885922,0.8593147,0.04308389,True,H1,5.0,1.0,2.0,1.0,False,-1.0
43,splines,10.0,29.975466,2.0699465,0.83708894,0.055951387,True,H1,5.0,1.0,2.0,0.3162277660168379,True,1.0
44,splines,10.0,30.62453,2.1313627,0.8582609,0.041250736,True,H1,5.0,1.0,2.0,0.3162277660168379,True,2.0
45,splines,10.0,30.512087,1.7452034,0.85496753,0.045603935,True,H1,5.0,1.0,2.0,0.3162277660168379,True,3.0
46,splines,10.0,28.862917,1.2199999,0.80632,0.058844116,True,H1,5.0,1.0,2.0,0.3162277660168379,True,4.0
47,splines,10.0,31.280834,1.499189,0.87161344,0.03286028,True,H1,5.0,1.0,2.0,0.3162277660168379,True,5.0
48,splines,10.0,31.634972,1.4834309,0.8593095,0.050769024,True,H1,5.0,1.0,2.0,0.3162277660168379,False,-1.0
49,splines,10.0,31.349495,1.7424829,0.8548922,0.043673363,True,H1,5.0,1.0,3.0,10.0,True,1.0
50,splines,10.0,31.46946,1.5023923,0.8510137,0.053244002,True,H1,5.0,1.0,3.0,10.0,True,2.0
51,splines,10.0,30.870136,2.2100387,0.8693145,0.03459752,True,H1,5.0,1.0,3.0,10.0,True,3.0
52,splines,10.0,31.398466,1.5634815,0.85568887,0.046631183,True,H1,5.0,1.0,3.0,10.0,True,4.0
53,splines,10.0,29.670372,2.5783598,0.8382388,0.06361379,True,H1,5.0,1.0,3.0,10.0,True,5.0
54,splines,10.0,30.340742,2.5085962,0.8584491,0.046048105,True,H1,5.0,1.0,3.0,10.0,False,-1.0
55,splines,10.0,28.01457,1.9712412,0.82504445,0.050232906,True,H1,5.0,1.0,3.0,3.1622776601683795,True,1.0
56,splines,10.0,21.16229,2.6286266,0.6017714,0.104832396,True,H1,5.0,1.0,3.0,3.1622776601683795,True,2.0
57,splines,10.0,28.072805,2.823028,0.81272906,0.091605395,True,H1,5.0,1.0,3.0,3.1622776601683795,True,3.0
58,splines,10.0,25.35211,1.6301122,0.7366894,0.060063552,True,H1,5.0,1.0,3.0,3.1622776601683795,True,4.0
59,splines,10.0,11.222044,12.656623,0.8256025,0.05742557,True,H1,5.0,1.0,3.0,3.1622776601683795,True,5.0
60,splines,10.0,31.312283,1.7041839,0.85115945,0.046998106,True,H1,5.0,1.0,3.0,3.1622776601683795,False,-1.0
61,splines,10.0,31.500723,1.5125598,0.8504814,0.049923256,True,H1,5.0,1.0,3.0,1.0,True,1.0
62,splines,10.0,31.578232,1.4847653,0.86154175,0.040732168,True,H1,5.0,1.0,3.0,1.0,True,2.0
63,splines,10.0,27.679525,2.0446167,0.77867675,0.079662055,True,H1,5.0,1.0,3.0,1.0,True,3.0
64,splines,10.0,31.56084,1.4654359,0.86679995,0.04401546,True,H1,5.0,1.0,3.0,1.0,True,4.0
65,splines,10.0,27.68861,2.3176203,0.81070465,0.061569907,True,H1,5.0,1.0,3.0,1.0,True,5.0
66,splines,10.0,12.3667965,5.340457,0.24511027,0.17562124,True,H1,5.0,1.0,3.0,1.0,False,-1.0
67,splines,10.0,30.273802,2.059457,0.8481425,0.046470087,True,H1,5.0,1.0,3.0,0.3162277660168379,True,1.0
68,splines,10.0,30.205925,2.4197772,0.84128064,0.061221406,True,H1,5.0,1.0,3.0,0.3162277660168379,True,2.0
69,splines,10.0,28.583118,2.4128737,0.8319125,0.06268855,True,H1,5.0,1.0,3.0,0.3162277660168379,True,3.0
70,splines,10.0,29.596163,2.0418773,0.86107105,0.037533525,True,H1,5.0,1.0,3.0,0.3162277660168379,True,4.0
71,splines,10.0,31.55823,1.3919683,0.85155225,0.047920767,True,H1,5.0,1.0,3.0,0.3162277660168379,True,5.0
72,splines,10.0,29.956072,1.3621762,0.8616219,0.032851037,True,H1,5.0,1.0,3.0,0.3162277660168379,False,-1.0
73,splines,10.0,-9.028447,0.14406972,0.0007608228,0.00045257606,True,H1,5.0,1.0,4.0,10.0,True,1.0
74,splines,10.0,30.946575,2.1321344,0.86176115,0.041977793,True,H1,5.0,1.0,4.0,10.0,True,2.0
75,splines,10.0,29.5525,1.9776204,0.830611,0.05477418,True,H1,5.0,1.0,4.0,10.0,True,3.0
76,splines,10.0,30.492584,0.8644987,0.8177595,0.06104313,True,H1,5.0,1.0,4.0,10.0,True,4.0
77,splines,10.0,-4.171093,15.148833,0.1288225,0.24367477,True,H1,5.0,1.0,4.0,10.0,True,5.0
78,splines,10.0,30.54446,1.800331,0.8570705,0.04776784,True,H1,5.0,1.0,4.0,10.0,False,-1.0
79,splines,10.0,10.893034,1.4152838,0.045517933,0.02939183,True,H1,5.0,1.0,4.0,3.1622776601683795,True,1.0
80,splines,10.0,29.958197,2.6514335,0.856721,0.04741125,True,H1,5.0,1.0,4.0,3.1622776601683795,True,2.0
81,splines,10.0,30.514238,2.3254874,0.85942537,0.047358397,True,H1,5.0,1.0,4.0,3.1622776601683795,True,3.0
82,splines,10.0,30.13178,2.6093845,0.85398275,0.04941917,True,H1,5.0,1.0,4.0,3.1622776601683795,True,4.0
83,splines,10.0,31.018093,1.4828044,0.8715823,0.027712079,True,H1,5.0,1.0,4.0,3.1622776601683795,True,5.0
84,splines,10.0,29.703907,1.2890368,0.8143565,0.05571187,True,H1,5.0,1.0,4.0,3.1622776601683795,False,-1.0
85,splines,10.0,5.5346656,0.25213096,0.02387651,0.014109131,True,H1,5.0,1.0,4.0,1.0,True,1.0
86,splines,10.0,31.51111,1.5510199,0.8561865,0.045390587,True,H1,5.0,1.0,4.0,1.0,True,2.0
87,splines,10.0,21.590904,1.0456427,0.30587927,0.055878256,True,H1,5.0,1.0,4.0,1.0,True,3.0
88,splines,10.0,25.118782,2.3981614,0.70747966,0.09416141,True,H1,5.0,1.0,4.0,1.0,True,4.0
89,splines,10.0,-9.314365,6.034084,0.0067850146,0.06331446,True,H1,5.0,1.0,4.0,1.0,True,5.0
90,splines,10.0,-5.1496806,0.62258536,9.1817434e-05,0.0025196574,True,H1,5.0,1.0,4.0,1.0,False,-1.0
91,splines,10.0,24.039167,1.858161,0.61086893,0.09492968,True,H1,5.0,1.0,4.0,0.3162277660168379,True,1.0
92,splines,10.0,29.451992,1.7648468,0.83783734,0.034334026,True,H1,5.0,1.0,4.0,0.3162277660168379,True,2.0
93,splines,10.0,25.103785,3.8543026,0.60676134,0.21186952,True,H1,5.0,1.0,4.0,0.3162277660168379,True,3.0
94,splines,10.0,0.50676024,0.18490466,0.005866244,0.0037021022,True,H1,5.0,1.0,4.0,0.3162277660168379,True,4.0
95,splines,10.0,20.975052,3.265739,0.68200874,0.12593651,True,H1,5.0,1.0,4.0,0.3162277660168379,True,5.0
96,splines,10.0,4.499133,0.19029263,0.020232476,0.012081027,True,H1,5.0,1.0,4.0,0.3162277660168379,False,-1.0
97,splines,10.0,30.947943,2.1763453,0.8594054,0.045317028,True,H1,5.0,1.0,5.0,10.0,True,1.0
