,architecture,loss,num_classes,degree,latent_size,type,known_variance,static_gamma,chance,variance,house,peppers,barbara,boats
0,decreasing,L2,10,1,1024,classic,0,0,0,1.0,48.131744384765625,48.13290786743164,48.12290191650391,48.12055969238281
1,decreasing,L2,10,1,1024,classic,0,0,0,2.0,42.082767486572266,42.09588241577149,42.12483215332031,42.11864471435547
2,decreasing,L2,10,1,1024,classic,0,0,0,5.0,34.1785888671875,34.13534927368164,34.14729309082031,34.155147552490234
3,decreasing,L2,10,1,1024,classic,0,0,0,10.0,28.187108993530277,28.19273567199707,28.138978958129883,28.144990921020508
4,decreasing,L2,10,1,1024,classic,0,0,0,15.0,24.584461212158203,24.60647392272949,24.600950241088867,24.617570877075195
5,decreasing,L2,10,1,1024,classic,0,0,0,20.0,22.116180419921875,22.109695434570312,22.12160873413086,22.10333633422852
6,decreasing,L2,10,1,1024,classic,0,0,0,25.0,20.142902374267575,20.200660705566406,20.18180084228516,20.18700790405273
7,decreasing,L2,10,1,1024,classic,0,0,0,50.0,14.17386245727539,14.128429412841797,14.160491943359377,14.155044555664062
8,decreasing,L2,10,1,1024,classic,0,0,0,75.0,10.625072479248049,10.633651733398438,10.623893737792969,10.622631072998049
9,decreasing,L2,10,1,1024,classic,0,0,0,100.0,8.112159729003906,8.164310455322266,8.109249114990234,8.124305725097656
10,decreasing,L2,10,1,1024,classic,0,1,0,1.0,48.11960983276367,48.124698638916016,48.13033676147461,48.14935302734375
11,decreasing,L2,10,1,1024,classic,0,1,0,2.0,42.10604095458984,42.08531951904297,42.12113952636719,42.110260009765625
12,decreasing,L2,10,1,1024,classic,0,1,0,5.0,34.158660888671875,34.151878356933594,34.153541564941406,34.136802673339844
13,decreasing,L2,10,1,1024,classic,0,1,0,10.0,28.18478202819824,28.180145263671875,28.141740798950195,28.12917709350586
14,decreasing,L2,10,1,1024,classic,0,1,0,15.0,24.586502075195312,24.56644821166992,24.61052703857422,24.602954864501957
15,decreasing,L2,10,1,1024,classic,0,1,0,20.0,22.07647132873535,22.103879928588867,22.107812881469727,22.12483024597168
16,decreasing,L2,10,1,1024,classic,0,1,0,25.0,20.15487289428711,20.168407440185547,20.167171478271484,20.187057495117188
17,decreasing,L2,10,1,1024,classic,0,1,0,50.0,14.163055419921877,14.120094299316406,14.13873291015625,14.155658721923828
18,decreasing,L2,10,1,1024,classic,0,1,0,75.0,10.619403839111328,10.578025817871094,10.63962173461914,10.633651733398438
19,decreasing,L2,10,1,1024,classic,0,1,0,100.0,8.110641479492188,8.130607604980469,8.140464782714844,8.119880676269531
20,decreasing,L2,10,1,1024,classic,1,0,0,1.0,48.127960205078125,48.15949249267578,48.137428283691406,48.12923049926758
21,decreasing,L2,10,1,1024,classic,1,0,0,2.0,42.110260009765625,42.10466384887695,42.112937927246094,42.12996673583984
22,decreasing,L2,10,1,1024,classic,1,0,0,5.0,34.168582916259766,34.15244674682617,34.143402099609375,34.153663635253906
23,decreasing,L2,10,1,1024,classic,1,0,0,10.0,28.09772682189941,28.14368438720703,28.11688041687012,28.114559173583984
24,decreasing,L2,10,1,1024,classic,1,0,0,15.0,24.590877532958984,24.605104446411133,24.61425018310547,24.61094856262207
25,decreasing,L2,10,1,1024,classic,1,0,0,20.0,22.09052848815918,22.1581974029541,22.09673118591309,22.126598358154297
